id,name,absolute_magnitude,is_potentially_hazardous_asteroid,diameter_km_min,diameter_km_max,close_approach_date,rel_km_s,miss_km
2163732,163732 (2003 KP2),15.48,False,2.1308602925,4.7647484646,1910-06-17,9.0145067353,128282281.19443065
2163760,163760 (2003 OR14),16.68,False,1.2261821132,2.7418265579,1943-09-24,10.596091301,14692652.28262969
2163899,163899 (2003 SD220),17.56,True,0.8176265334,1.8282685088,1901-08-25,8.9126146936,18083453.20710753
2163902,163902 (2003 SW222),17.21,False,0.9606274149,2.1480282008,,,
2164120,164120 (2003 YK),19.05,False,0.4116754573,0.9205343072,1900-05-02,11.2620241046,26363147.648765247
2164217,164217 (2004 PT42),17.16,False,0.9830033019,2.1980622051,1964-08-20,26.0737807621,28418069.25940071
2164400,164400 (2005 GN59),17.37,True,0.8923905787,1.9954459964,1929-12-09,8.9770033628,17003965.164802477
2168044,168044 (2005 SG),19.09,False,0.4041615334,0.9037326626,1901-10-09,24.5434511044,69710521.9060139
2168791,168791 (2000 SQ43),18.85,False,0.4513931628,1.0093457967,1906-09-05,14.226749966,59411724.99924162
2170086,170086 (2002 XR14),18.14,True,0.6259720997,1.3997161669,1916-04-23,11.6598280247,4577034.467082246
2170502,170502 (2003 WM7),17.36,False,0.8965096664,2.0046565566,1903-11-06,26.0600543398,10703693.116190964
2163454,163454 (2002 RN129),19.11,False,0.4004561582,0.8954471917,1902-12-25,19.8716834186,57016581.95865693
2164201,164201 (2004 EC),15.73,False,1.8991312347,4.246586539,1913-08-24,38.6625421625,9589731.291929502
2164211,164211 (2004 JA27),19.5,True,0.3346223745,0.7482383761,1903-07-07,11.8715917146,19659150.771976728
2164215,164215 Doloreshill (2004 MF6),20.01,False,0.2645787599,0.5916160926,1921-09-07,0.9751526742,70751439.59325026
2164294,164294 (2004 XZ130),20.45,False,0.2160503512,0.4831032718,1900-01-06,14.113191695,10483812.371690525
2164341,164341 (2005 CO),20.59,False,0.2025606009,0.4529392731,1920-04-07,4.8199381895,58615686.48889376
